#Strain,Isolate,Location,Assembly,Collection date,Isolation type,Host,AMR genotypes,AST phenotypes
CLJ3,PDT000308281.1,France: Grenoble,GCA_003057595.1,17/05/2010,clinical,Homo sapiens,"blaPDC-250=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
R4164,PDT000422621.1,,GCA_003955015.1,,clinical,,"aph(3')-IIb=COMPLETE,blaOXA-1034=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
11,PDT000492502.1,Italy: Trento,GCA_004796215.1,2013,clinical,Homo sapiens,"aph(3')-IIb=PARTIAL_END_OF_CONTIG,blaOXA-50=COMPLETE,blaPDC=PARTIAL_END_OF_CONTIG,catB7=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
247,PDT000595476.1,Indonesia,GCA_902202215.1,23/09/2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000595540.1,Indonesia,GCA_902202855.1,13/08/2014,,,"aph(3')-IIb=COMPLETE,blaOXA-851=COMPLETE,blaPDC-46=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
5,PDT000595549.1,Indonesia,GCA_902202895.1,11/02/2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
25,PDT000595552.1,Indonesia,GCA_902202935.1,25/02/2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
25,PDT000595553.1,Indonesia,GCA_902202905.1,10/03/2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
25,PDT000595562.1,Indonesia,GCA_902203075.1,11/03/2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
66,PDT000595576.1,Indonesia,GCA_902203195.1,23/03/2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
KCJ3K67,PDT000599582.1,USA,GCA_008802575.1,01/02/2019,clinical,Homo sapiens,"blaPDC-41=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
delta6_3,PDT000663337.1,,GCA_009800005.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
delta6_5,PDT000663339.1,,GCA_009800045.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
delta10,PDT000663341.1,,GCA_009800085.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Environ_1,PDT000663344.1,,GCA_009800145.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
Environ_2,PDT000663345.1,,GCA_009800165.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
RD1-3,PDT000669018.1,China:Yangling,GCA_009911735.1,05/08/2018,,,"aph(3')-IIb=COMPLETE,blaOXA-1026=COMPLETE,blaPDC-39=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
C7-25,PDT000672976.1,France,GCA_902703215.1,27/02/2007,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
207,PDT000714739.1,Indonesia,GCA_902633025.1,14/08/2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
99,PDT000714742.1,Indonesia,GCA_902632995.1,06/05/2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-105=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
209,PDT000714744.1,Indonesia,GCA_902633015.1,03/08/2015,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-850=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
AZPAE15042,PDT000545389.1,Germany: Heidelberg,GCA_006971785.1,2012,,,"blaPDC-41=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172827.1,,GCA_900144765.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000173134.1,,GCA_900147495.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000174696.1,,GCA_900147555.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000174706.1,,GCA_900147625.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000174711.1,,GCA_900147995.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172796.1,,GCA_900144535.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172799.1,,GCA_900144555.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
,PDT000172801.1,,GCA_900144585.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172802.1,,GCA_900144595.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
,PDT000172803.1,,GCA_900144605.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
,PDT000172807.1,,GCA_900144625.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
,PDT000172808.1,,GCA_900144635.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE",
NF011,PDT000762197.1,China: Hubei,GCA_013285125.1,20/04/2018,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-454=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ACFB01,PDT000768357.1,,GCA_021677695.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=PARTIAL,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
139125,PDT000797690.1,United Kingdom,GCA_013620005.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
139124,PDT000797692.1,United Kingdom,GCA_013620065.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
89570,PDT000797694.1,United Kingdom,GCA_013620105.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
119579,PDT000797695.1,United Kingdom,GCA_013620115.1,2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
89093,PDT000797704.1,United Kingdom,GCA_013620295.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
89150,PDT000797705.1,United Kingdom,GCA_013620315.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-97=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
79426,PDT000797707.1,United Kingdom,GCA_013620375.1,2007,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-97=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
49513,PDT000797709.1,United Kingdom,GCA_013620385.1,2004,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
49388,PDT000797714.1,United Kingdom,GCA_013620485.1,2004,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
10262,PDT000797717.1,United Kingdom,GCA_013620565.1,2004,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
9920,PDT000797718.1,United Kingdom,GCA_013620575.1,2004,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-97=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
8995,PDT000797720.1,United Kingdom,GCA_013620595.1,2004,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA3,PDT000832839.1,China:Chongqing,GCA_014490645.1,10/10/2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
JT86,PDT000856428.1,China: Guangzhou,GCA_014854655.1,03/05/2018,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PSA00320,PDT000903912.1,"USA: Pittsburgh, Pennsylvania",GCA_015733525.1,2017,clinical,Homo sapiens,"blaPDC-41=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PSA00066,PDT000904155.1,"USA: Pittsburgh, Pennsylvania",GCA_015738385.1,2017,clinical,Homo sapiens,"blaPDC-41=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PSA00043,PDT000904180.1,"USA: Pittsburgh, Pennsylvania",GCA_015738835.1,2016,clinical,Homo sapiens,"blaPDC-125=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PSA00922,PDT000915590.1,"USA: Pittsburgh, Pennsylvania",GCA_016009815.1,2018,clinical,Homo sapiens,"blaPDC-41=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PSA00730,PDT000915775.1,"USA: Pittsburgh, Pennsylvania",GCA_016089855.1,2018,clinical,Homo sapiens,"blaPDC-62=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PSA00588,PDT000915873.1,"USA: Pittsburgh, Pennsylvania",GCA_016091815.1,2018,clinical,Homo sapiens,"blaPDC-62=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PSA00579,PDT000915881.1,"USA: Pittsburgh, Pennsylvania",GCA_016092605.1,2018,clinical,Homo sapiens,"blaPDC=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PSA00554,PDT000915890.1,"USA: Pittsburgh, Pennsylvania",GCA_016092795.1,2017,clinical,Homo sapiens,"blaPDC-41=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PSA00985,PDT000923481.1,"USA: Pittsburgh, Pennsylvania",GCA_016343305.1,2019,clinical,Homo sapiens,"blaPDC-41=COMPLETE,crpP=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
15958,PDT000982308.1,Nigeria,GCA_017288095.1,2017,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-66=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
16014,PDT000990590.1,Nigeria,GCA_017581745.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
16048,PDT000990591.1,Nigeria,GCA_017582255.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA17-28,PDT001024362.1,Spain,GCA_018341025.1,19/07/2017,,,"aph(3')-IIb=COMPLETE,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA15-49,PDT001024378.1,Spain,GCA_018341355.1,06/10/2015,,,"aph(3')-IIb=COMPLETE,blaOXA-1034=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PA15-38,PDT001024380.1,Spain,GCA_018341395.1,18/07/2015,,,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=PARTIAL_END_OF_CONTIG,mexE=COMPLETE,mexX=COMPLETE",
PA14-31,PDT001024394.1,Spain,GCA_018341675.1,22/09/2014,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
131108,PDT001113444.1,China: Zhengzhou,GCA_019690515.1,2019,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-846=COMPLETE,blaPDC-11=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001132756.1,Denmark,GCA_905068145.1,2005,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001132757.1,Denmark,GCA_905068175.1,2008,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-24=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT001251931.1,Ghana,GCA_903684365.1,08/09/2017,,,"aph(3')-IIb=COMPLETE,blaOXA-1030=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
17902/1,PDT001263802.1,Russia: Moscow,GCA_022552995.1,20/01/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
17902/2,PDT001263803.1,Russia: Moscow,GCA_022553015.1,16/01/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
H20,PDT001265077.1,Colombia,GCA_022569855.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
H17,PDT001265079.1,India,GCA_022569895.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
H09,PDT001265084.1,Germany,GCA_022569995.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-167=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ATCC BAA-2108,PDT001277629.1,USA,GCA_022699505.1,1995/1996,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-937=COMPLETE,blaPDC-31=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=MISTRANSLATION,mexX=COMPLETE",
PAX,PDT001278622.1,Lebanon: North,GCA_022819005.1,04/09/2017,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-45=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172811.1,,GCA_900144665.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-213=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172812.1,,GCA_900147695.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-213=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172813.1,,GCA_900144675.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-213=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172816.1,,GCA_900144695.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-213=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172817.1,,GCA_900147715.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-213=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172818.1,,GCA_900144715.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-213=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172819.1,,GCA_900144705.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-213=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000172821.1,,GCA_900144725.1,,,,"aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-213=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
1334/14,PDT000463841.1,Poland,GCA_004193735.1,10/03/2014,clinical,Homo sapiens,"aadA1=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-Ib=COMPLETE,aph(3')-VI=COMPLETE,aph(6)-Id=COMPLETE,arr-2=COMPLETE,blaDIM-1=COMPLETE,blaNDM-1=COMPLETE,blaOXA-10=COMPLETE,blaOXA-486=COMPLETE,blaPDC-31=COMPLETE,blaPME-1=COMPLETE,catB7=COMPLETE,cmlA5=COMPLETE,crpP=COMPLETE,dfrA1=COMPLETE,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mph(E)=COMPLETE,mph(F)=COMPLETE,msr(E)=COMPLETE,parC_S87L=POINT,qnrVC1=COMPLETE,rmtD=COMPLETE,sul1=COMPLETE,tet(G)=COMPLETE,tmexC=COMPLETE,tmexD2=COMPLETE,toprJ1=COMPLETE",
B17416,PDT000972585.1,India: Vellore,GCA_016925455.1,2014,clinical,Homo sapiens,"aac(6')-Il=COMPLETE,aadA1=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-VI=COMPLETE,blaNDM-1=COMPLETE,blaOXA-10=COMPLETE,blaOXA-846=COMPLETE,blaPDC-11=COMPLETE,blaVEB-9=COMPLETE,blaVEB=PARTIAL,ble=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,dfrB2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,tet(A)=COMPLETE",
B17932,PDT000972586.1,India: Vellore,GCA_016925475.1,2014,clinical,Homo sapiens,"aac(6')-Il=COMPLETE,aadA1=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-VI=COMPLETE,blaNDM-1=COMPLETE,blaOXA-10=COMPLETE,blaOXA-846=COMPLETE,blaPDC-11=COMPLETE,blaVEB-9=COMPLETE,blaVEB=PARTIAL,ble=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,dfrB2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE,tet(A)=COMPLETE",
P. aeruginosa AmpC-28-52074790,PDT001044033.1,Spain: A Coruna,GCA_021661855.1,01/01/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
P. aeruginosa AmpC-26-52074792,PDT001044035.1,Spain: A Coruna,GCA_021661755.1,01/01/2020,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-477=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
P. aeruginosa AmpC-15-51861644,PDT001044034.1,Spain: A Coruna,GCA_021661735.1,01/01/2020,clinical,Homo sapiens,"aadA13=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-321=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=COMPLETE",
NCGM257,PDT000106088.1,Tokyo,GCA_001547955.1,2004-11,clinical,Homo sapiens,"aadA2=COMPLETE,ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaIMP-1=COMPLETE,blaOXA-4=COMPLETE,blaOXA-846=COMPLETE,blaPDC-11=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR2=COMPLETE,floR=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE,sul1=PARTIAL,tet(G)=COMPLETE",
,PDT000768297.1,Spain,GCA_021678455.1,08/06/2016,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,aph(3')-VI=COMPLETE,blaKPC-2=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,blaTEM=PARTIAL,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul2=COMPLETE",
